"servicecenterid","serviceid","servicenameen","servicenamear","isavailable"
"498","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"501","1312","","إلغاء بطاقة مندوب","true"
"495","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"531","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"471","57","Cancellation of entry permits issued by the default system (Online)","إلغاء صلاحية أذونات الدخول  الصادرة عن طريق الادارة الافتراضية نظام الـ On-Line","true"
"515","384","Incoming Information","المعلومــات الواردة","true"
"495","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"535","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"484","1312","","إلغاء بطاقة مندوب","true"
"471","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"471","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"497","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"535","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"498","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"515","718","Receipt and Extradition of Wanted People","إستلام وتسليم المطلوبين","true"
"476","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"503","651","","خروج مواطني دول مجلس التعاون الخليجي ( متوجهين إلى سلطنة سلطنة عمان ) عبر منفذ حتا البري","true"
"471","196","Certificate issuance of absence of the establishment card.","إصدار شهادة عدم وجود بطاقة منشأة.","true"
"471","80","Renewal of work residence","تجديد إقامة عمل","true"
"495","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"480","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"476","48","","دخول حملة أذونات الدخول.","true"
"496","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"503","554","","دخول حامل إذن دخول ( سفرة واحدة ) صادرة عن إدارة الجنسية والإقامة - دبي عن طريق  منفذ حتا الحدودي","true"
"507","1111","","في حالة مرض البحارة او الأصابة في حادث","true"
"499","80","Renewal of work residence","تجديد إقامة عمل","true"
"835","1201","","إطلاق الاستبيانات المتعلقة بالموارد البشرية وتحليلها ورفع التوصيات المناسبة  [خارجي المجلس التنفيذي]","true"
"478","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"515","1297","Stop searching for one sponsored by a UAE citizen/ GCC citizen","كف البحث عن مكفول كفيل مواطن / مواطن مجلس التعاون","true"
"536","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"535","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"471","110","Request to modify data of family book (first name)","طلب تعديل بيانات خلاصة قيد (الاسم الأول)","true"
"507","158","","خروج اليخوت.","true"
"493","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"507","146","","ترك عبور بحار من وسيله إلى وسيله أخرى في نفس الميناء.","true"
"481","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"516","80","Renewal of work residence","تجديد إقامة عمل","true"
"513","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"471","1322","","تسجيل الحظر على ملف الكفيل (الشخصي)","true"
"493","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"471","214","Request for issuing family book for citizen divorced","طلب اصدار خلاصة قيد للمطلقة المواطنة","true"
"484","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"490","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"471","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"484","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"484","1220","-Long term tourism visit visa of multiple journeys","إذن دخول زيارة طويلة سياحة عدة سفرات","true"
"471","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"500","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"484","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
"472","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"478","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"507","30","","انتقال الوسيلة بين موانئ الدولة ( خروج محلي).","true"
