"professionid","professiondescen","professiondescar"
"215007","TEAM LEADER RISK PROFILE","رئيس مجموعة بيانات المخاطرة"
"215008","SPECIALIST BUSINESS INTELLIGENCE","اخصائي استخبارات الاعمال"
"215011","SECURITY MANAGER","مدير امن"
"221532","A/C TECHNICIAN","فنى تكييف وتبريد/تركيب"
"800001","Entrepreneur","أعمال حره"
"1000000","PROFESSIONALS IN SCIENTIFIC","الاختصاصيون فى المواضيع العلميه"
"1000001","LEGAL ADVISOR GENERAL","مستشار عام"
"1000002","GENERAL CONSULTANT","استشارى عام"
"1000003","FIRST LEGAL ADVISOR","مستشار اول"
"1000008","SENIOR SPECIALIST HUMAN RESOURCES SYSTEM","اخصائي اول نظام الموارد البشريه"
"1000009","SPECIALIST HUMAN RESOURCES SYSTEM","اخصائي نظام الموارد البشريه"
"1000010","HUMAN RESOURCES EXPERT","خبير الموارد البشريه"
"1000011","ASSOCIATION CONSULTANT","استشارى جمعيه"
"1100000","PROFESSIONALS IN PURE SCIENCE","الاختصاصيون فى العلوم البحته"
"1110000","PROFESSIONAL IN PHY SCIENCES","الاختصاصيون فى العلوم الطبيعيه"
"1111000","CHEMISTS","الكيميائيون"
"1111011","CHEMIST / GENERAL","كيميائى"
"1111021","CHEMIST / ORGANIC","كيميائى عضوى"
"1111031","CHEMIST / INORGANIC","كيميائى لا عضوى"
"1111041","CHEMICAL ANALYST","كيميائى تحليلى"
"1111051","CHEMIST / PHYSICAL","كيميائى فيزيائى"
"1111061","CHEMIST / NUTRIENTS","كيميائى اغذيه"
"1111071","CHEMIST / INDUSTRIAL","كيميائى صناعى"
"1111081","CHEMIST / WATER PURIFICATION","كيميائى تنقيه مياه"
"1111091","CHEMIST / PAINTS DIES","كيميائى دهان (اصباغ)"
"1111101","POISON EXPERT","خبير سموم"
"1111201","CHEMIST ASSISTANT","مساعد كيمائى"
"1112000","PHYSICISTS","الفزيائيون"
"1112011","PHYSICIST GENERAL","فيزيائى"
"1112021","MECHANIC PHYSICIST","فيزيائى ميكانيكا"
"1112031","HEAT PHYSICIST","فيزيائى حراره"
"1112041","LIGHT PHYSICIST","فيزيائى ضوء"
"1112051","SOUND PHYSICIST","فيزيائى صوت"
"1112061","ELECTROMAGNETICS PHYSICIST","فيزيائى كهروميغناطيسيه"
"1112071","ELECTRONICS PHYSICIST","فيزيائى الكترونيات"
"1112081","NUCLEAR PHYSICIST","فيزيائى نووى"
"1113000","GEOLOGISTS","الجيولوجيون"
"1113011","GENERAL GEOLOGIST","جيولوجى عام"
"1113021","PHYSICIAL GEOLOGIST","جيوفيزيائى"
"1113031","PETROLEUM GEOLOGIST","جيولوجى بترول"
"1113041","WATER GEOLOGIST","جيولوجى مياه"
"1113051","MINING GEO NATURAL RESOURCES","جيولوجى تعدين (مصادر طبيعيه)"
"1114000","ASTRONOMERS","الفلكيون"
"1114011","GENERAL ASTRONOMER","فلكى عام"
"1114021","OBSERVATORY ASTRONOMER","فلكى رصد"
"1115000","METEOROLOGISTS","الراصدون"
"1115011","WEATHER METEOROLOGIST","راصد احوال مناخيه"
"1115021","EARTHQUAKE METEOROLOGIST","راصد هزات ارضيه"
"1120000","BIOLOGISTS","الاختصاصيون فى العلوم الحياتيه"
"1121000","ZOOLOGISTS","الاختصاصيون فى علم الحيوان"
"1121011","GENERAL ZOOLOGIST","اختصاصى علم حيوان"
"1121021","ANIM CROSBREEDING SPEC GENETIC","اختصاصى علم وراثه"
"1121031","AQUATIC ANIMALS BIOLOGIST","اختصاصى احياء مائيه"
"1121041","PHYSIOLOGIST","اختصاصى علم وظائف الاعضاء"
"1121051","CYTOLOGIST","اختصاصى خلايا حيه"
"1121061","BIOCHEMIST","اختصاصى بيوكيميائى"
"1121071","BIOPHYSICIST","اختصاصى فيزياء حيويه"
"1122000","BOTANISTS","الاختصاصيون فى علم النبات"
"1122011","GENERAL BOTANISTS","اختصاصى علم نبات"
"1122021","HYBRIDIZATION SPECIALIST","اختصاصى تهجين نبات"
"1123000","PATHOLOGISTS","الاختصاصيون فى علم الامراض"
"1123011","GENERAL PATHOLOGIST","اختصاصى علم امراض"
"1123021","INSECT SPECIALIST","اختصاصى حشرات"
"1123031","BACTERIOLOGIST","اختصاصى بكتريا"
"1123041","GENERAL PRACTITIONER","اختصاصى امراض الانسان"
"1123051","VETERANORY DOCTOR","اختصاصى امراض الحيوان"
"1123061","PLANT DISEAS SPECIALIST","اختصاصى امراض النبات"
"1130000","PROFF STATI MATHS SYS ANALYSIS","الاختصاصيون فى الاحصاءوالرياضيات"
"1131000","PROFESSIONALS IN STATISTIC","الاختصاصيون فى الاحصاء"
"1131011","GENERAL STATISTICIAN","احصائى عام"
"1131012","ECONOMIC STATISTICS EXPERT","خبير الاحصاءات الاقتصادية"
"1131021","APPLIED STATISTICIAN","احصائى تطبيقى"
"1131031","ACTUARIAL STATISTICIAN","احصائى اكتوارى"
"1131050","RESEARCH ANALYST","باحث رئيسى"
"1132000","PROFESSIONAL IN MATHEMATICS","الاختصاصيون فى الرياضيات"
"1132011","GENERAL MATHEMATICIAN","رياضي عام"
"1132021","STATISTICAL MATHEMATICIAN","رياضى احصاء"
"1132031","APPLIED MATHEMATICIAN","رياضى تطبيقى"
"1133000","PROFESSIONAL IN SYS ANALYSIS","الاختصاصيون فى نظم المعلومات"
"122091","SEA TRANSPORT DIRECTOR","مدير نقل بحرى"
"122101","AIR TRANSPORT DIRECTOR","مدير نقل جوى"
"123034","FIRE PREVENTION AND FACILITIES MANAGER","مدير المرافق والحمايه من الحرائق"
"123035","FIRE SAFETY MANAGER","مدير الوقايه من الحرائق"
"124071","ASSISTANT STATION MANAGER","مساعد مدير محطه"
"124073","STATION OFFICER","ضابط محطه"
"124077","STATION ASSISTANT","مساعد محطه"
"124078","SHIFT SUPERVISOR","مشرف ورديات"
"130000","SOCIAL SERVICES DIRECTORS","مديرو خدمات المجتمع"
"131000","HEALTH SERVICES DIRECTORS","مديرو الخدمات الصحيه"
"131011","HOSPITAL DIRECTOR","مدير مستشفى"
"131012","MANAGER CHILD CARE CENTER","مدير مركز رعاية الطفل"
"131021","CLINIC MANAGER","مدير مستوصف"
"131031","LABORATORY MANAGER","مدير مختبر تحليلات"
"131041","VETERINARY HOSPITAL DIRECTOR","مدير مستشفى بيطرى"
"132000","EDUCATIONAL SERVICES DIRECTORS","مديرو الخدمات التعليميه"
"132010","SENIOR DIRECTOR OF TERTIARY EDUCATION","مدير اول للتعليم العالي"
"132011","UNIVERSITY PRESIDENT","رئيس جامعه"
"132012","MANAGER/ ADULT EDUCATION","مدير لتعليم الكبار"
"132013","MANAGER/ PUBLIC SCHOOLS","مدير التعليم العام"
"132014","LEARNING PROGRAMS MANAGER","مدير برامج التعلم"
"132015","HEAD OF SCHOOLS SUPPORT SERVICES","رئيس خدمات الدعم المدرسى"
"132016","CHIEF OF DSIB","رئيس جهاز الرقابه المدرسيه"
"132017","HEAD OF ACADEMIC AFFAIRS","رئيس الشؤون الاكاديميه"
"132018","HEAD OF INSPECTION SUPPORT","مدير دعم الرقابه المدرسيه"
"132019","ADMINISTRATOR CHILD CARE CENTER","اداري مركز رعاية الطفل"
"132020","EXECUTIVE DIRECTOR OF HIGHER EDUCATION","المدير التنفيذى للتعليم العالى"
"132021","COLLEGE DEAN","عميد كليه"
"132022","ACADEMIC DEAN","عميد أكاديمي"
"132023","DIRECTOR OF ARABIZATION  PUBLISHING","مدير التعريب والنشر"
"132024","DIRECTOR OF ACADEMIC RESEARCH","مدير البحث العلمي"
"132025","DIRECTOR OF E-LEARNING","مدير التعليم الإلكتروني"
"132026","DIRECTOR OF CONTINUING EDUCATION","مدير التعليم المستمر"
"132027","DIRECTOR OF ADMISSION AND REGISTRATION","مدير القبول والتسجيل"
"132028","DIRECTOR OF LEARNERS SERVICES","مدير خدمات الدارسين"
"132029","MANAGER AWARNESS AND EDUCATION","مدير قسم التوعيه والتثقيف"
"132031","INSTITUTE DIRECTOR","مدير معهد"
"132041","SCHOOL DIRECTOR / PRINCIPAL","مدير مدرسه"
"132042","HEAD OF SUBJECT","رئيس قسم المادة"
"132051","KINDERGARTEN DIRECTOR","مدير روضه اطفال"
"132061","NURSERY DIRECTOR","مدير حضانه"
"132071","DIRECTOR OF GRADUATE STUDIES","مدير الدراسات العليا"
"132073","DIRECTOR OF UNDERGRADUATE STUDIES","مدير الدراسات الجامعية"
"133000","CULTURAL AND INFM INSTIT DIR","مديروالمؤسسات الثقافيةوالاعلاميه"
"133011","INFORMATION DIRECTOR","مدير اعلام"
"133012","MANAGER OF MEDIA AND DEVELOPMENT","مدير الاعلام والتواصل"
"133021","BROADCAST STATION DIRECTOR","مدير اذاعه"
"133031","TELEVISION DIRECTOR","مدير تلفزيون"
"133041","THEATRE DIRECTOR","مدير مسرح"
"133051","CINEMA DIRECTOR","مدير سينما"
"133061","MUSEUM DIRECTOR","مدير متحف"
"133071","LIBRARY DIRECTOR","مدير مكتبه"
"133081","CLUB DIRECTOR","مدير نادى"
"133091","PRINTING AND PUBLISHING DIR","مدير طباعه ونشر"
"133101","NEWSPAPER DIRECTOR","مدير اداره صحيفه"
"133111","EDITING DIRECTOR","مدير تحرير"
"133121","HEAD OF THE SCIENTISTS AUTHORITY","رئيس هيئه كبار العلماء"
"133131","HEAD OF THE SCIENTIFIC RESEARCH BRANCH","رئيس شعبه البحث العلمى"
"134000","SOCIAL ASSOC AND INSTIT DIRS","مديروالجمعيات والمؤسسات"
"134011","ASSOCIATION DIRECTOR","مدير جمعيه"
"134021","SOCIAL WELFARE INSTIT DIRECTOR","مدير دار رعايه اجتماعيه"
"134022","CHIEF OF ORGANIZATIONAL EXCELLENCE","رئيس التميز المؤسسي"
"134023","HEAD OF EXCELENCE PROGRAMS","رئيس برنامج التميز"
"142123","C","م"
"142141","SURGEON","استاذ جراحه"
"146042","SUPERVISOR (PRIMARY EDUCATION)","مشرف مرحلة  ابتدائية"
"200000","BUSINESS MANAGERS","مديرو الاعمال"
"210000","INDST AGR COMM TOUR MGRS","مديرو الاعمال الصناعيةوالزراعيه"
"211000","INDUSTRIAL MANAGERS","مديرو الاعمال الصناعيه"
"211011","PLANT/FACTORY MANAGER","مدير مصنع"
"211015","WORKING OPERATIONS MANAGER","مدير عمليات تشغيل"
"211021","OPERATIONS MANAGER","مدير عمليات عام"
"211022","ASSISTANT OPERATIONS MANAGER","مساعد مدير عمليات"
"211023","SENIOR SPECIALIST","مدير اختصاصى"
"211024","SENIOR SPECIALIST OPERATION","مدير اختصاصى عمليات"
"211025","DESIGN MANAGER","مدير تصميم"
"211026","HEAD OF DESIGN SECTION","رئيس قسم التصميم"
"211027","BUSINESS ARCHITECTURE TEAM LEADER","رئيس فريق تصميم الاعمال"
"211030","MANAGER CREATIVE SERVICES","مدير قسم الخدمات الابداعيه"
"211031","PRODUCTION MANAGER","مدير انتاج"
"211032","LOGISTICS AND PRODUCTION MANAGER","مدير الخدمات اللوجستية والانتاج"
"211033","LOGISTIC AND INTEGRATION EXECUTIVE","تنفيذي - وحدة العمليات والخدمات اللوجستي"
"211041","MAINTENANCE MANAGER","مدير صيانه"
"211051","SHIP REPAIR MANAGER","مدير صيانه سفن"
"211061","ENGINEERING MANAGER","مدير هندسى"
"211071","ERECTION MANAGER","مدير تشييد"
"211081","SAFETY MANAGER","مدير سلامه"
"211091","TECHNICAL MANAGER","مدير فنى"
"211102","MANAGER CONTROL ROOM","مدير قسم غرفة المراقبة"
"211103","MANAGER PROJECT QUALITY ASSURANCE","مدير ضمان جودة المشاريع"
"211104","SENIOR MANAGER QUALITY ASSURANCE","مدير اول قسم ضمان الجوده"
"211105","QUALITY CONTROL MANAGER","مدير مراقبه الجوده"
"211106","QUALITY ADVISOR","مدير دائره الجوده"
"211107","QUALITY ASSURANCE MANAGER","مدير ضمان الجوده"
"211108","QUALITY ASSURANCE ADMINISTRATOR","اداري ضمان الجوده"
"212000","AGRICULTURAL MANAGERS","مديرو الاعمال الزراعيه"
"212011","FARM MANAGER","مدير مزرعه"
"212021","LIVESTOCK FARM MANAGER","مدير مزرعه تربيه حيوانات"
"212031","POULTRY FARM MANAGER","مدير مزرعه تربيه دواجن"
"213000","COMMERCIAL BUSINESS MANAGERS","مديرو الاعمال التجاريه"
"213001","EXPERT TECHNICAL SUPPORT","خبير الدعم الفني"
"213002","DIRECTOR INSPECTION TECHNICAL SUPPORT","مدير ادارة الدعم الفني"
"213003","MANAGER IT USER SUPPORT","مدير دعم مستخدم تقنية المعلومات"
"213004","BUSINESS PLANING HEAD SECTION","رئيس قسم تخطيط الاعمال"
"213005","EXHIBITIONS MANAGER","مدير معارض"
"213006","BANK MANAGER","مدير بنك"
"213007","ADMINISTRATIVE SERVICES","اداري خدمات"
"213008","DIRECTOR CUSTOMS DECLARATION MANAGEMENT","مدير ادارة البيانات الجمركيه"
"213009","MANAGER NEW DECLARATIONS","مدير قسم البيانات الجمركيه الجديد"
"213010","TEAM LEADER NEW DECLARATIONS","رئيس مجموعة البيانات الجمركية الجديده"
"213011","COMMERCIAL MANAGER","مدير تجارى"
"213012","MANAGER DECLARATION SERVICES","مدير قسم خدمات البيانات الجمركية"
"213013","TEAM LEADER DECLARATION SERVICES","رئيس مجموعة خدمات البيانات الجمركية"
"213014","SR MANAGER BUSINESS PROCESSES","مدير اول قسم ادارة الاجراءات الجمركية"
"213015","IMPORTS/EXPORTS MANAGER","مدير استيراد وتصدير"
"213016","MANAGER PROCESS DEVELOPMENT","مدير تصميم الاجراءات الجمركية"
"213017","MANAGER PROCESS IMPROVEMENT","مدير تحسين الاجراءات الجمركية"
"213018","SR.MANAGER CARGO INVESTIGATION","مدير اول قسم تحقيق الشحن الجمركي"
"213019","MANAGER INVESTIGATIONS","مدير قسم التحقيق"
"213020","SR.MANAGER VALUATION","مدير اول قسم القيمة الجمركيه"
"213021","MARKETING MANAGER","مدير تسويق"
"213022","ASSISTANT MARKETING MANAGER","مساعد مدير تسويق"
"213023","MANAGER TECHNICAL SERVICES","مدير الخدمات الفنية"
"213024","DIRECTOR PASSENGER OPERATIONS","مدير ادارة عمليات المسافرين"
"213025","MANAGER VALUATION COMPLIANCE","مدير قسم التزام القيمة الجمركيه"
"213026","MANAGER TARIFF COMPLIANCE MANAGEMENT","مدير ادارة التزام التعرفه الجمركيه"
"213031","SALES MANAGER","مدير مبيعات"
"213032","DIRECTOR OF SALES AND MARKETING","مدير المبيعات والتسويق"
"213033","SALES PROGRAMMING MANAGER","مدير برامج المبيعات"
"213035","ADVERTISING MANAGER","مدير اعلانات"
"213036","RETAIL CENTRE MANAGER","مدير مراكز بيع التجزئه"
"213037","PROMOTION MANAGER","مدير ترويج"
"213038","SR EXECUTIVE MEDIA  PROMOTION","تنفيذي اول اعلام وترويج"
"213039","EXPERT CRM TECHNOLOGY","خبير علاقات العملاء والتقنيه"
"213041","PURCHASING MANAGER","مدير مشتريات"
"213042","MANAGER CUSTOMS SUSPENDED DUTY","مدير الاوضاع المعلقه للرسوم الجمركيه"
"213051","ACCOUNTING MANAGER","مدير حسابات"
"213052","EDUCATION ACCOUNTS MANAGER","مدير حسابات التعلم"
"213053","ACCOUNTS SECTION HEAD","رئيس قسم الحسابات"
"213061","INSURANCE MANAGER","مدير اعمال تامين"
"213062","INSURANCE SECTION HEAD","رئيس قسم التامين"
"213071","BANKING OPERATIONS MANAGER","مدير اعمال مصرفيه"
"213072","DIRECTOR CARGO JABEL ALI AND SEA ZONE","مدير ادارة عمليات الشحن البحري وجبل علي"
"213073","DIRECTOR CARGO IN LAND ZONE","مدير ادارة عمليات الشحن البري"
"213074","DIRECTOR CARGO AIRPORT ZONE","مدير ادارة عمليات الشحن الجوي"
"213075","SHIPPING/CARGO MANAGER","مدير شحن"
"213081","CREDIT MANAGER","مدير ائتمان"
"213091","WAREHOUSE MANAGER","مدير مخازن"
"213092","STORES SECTION HEAD","رئيس قسم المستودعات"
"213101","CATERING MANAGER","مدير تموين"
"213102","STORE SUPERVISOR","مسئول محل"
"213103","MANAGER SILICON CUSTOMER CENTER","مدير-مركز خدمة العملاء لواحة السيلكون"
"213104","MANAGER CARGO VILLAGE CUSTOMER CENTER","مدير-مركز خدمة العملاء لقرية دبي للشحن"
"213105","SERVICES MANAGER","مدير خدمات"
"213106","MANAGER HAMRIYA CUSTOMER CENTER","مدير-مركز خدمة العملاء لمينا الحمريه"
